income,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week
0,39,State-gov,Bachelors,NotMarried,Adm-clerical,Not-in-family,White,Male,40
0,50,Self-emp-not-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,13
0,38,Private,HS-grad,Separated,Handlers-cleaners,Not-in-family,White,Male,40
0,53,Private,11th,Married,Handlers-cleaners,Husband,Black,Male,40
0,28,Private,Bachelors,Married,Prof-specialty,Wife,Black,Female,40
0,37,Private,Masters,Married,Exec-managerial,Wife,White,Female,40
0,49,Private,9th,NotMarried,Other-service,Not-in-family,Black,Female,16
1,52,Self-emp-not-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,45
1,31,Private,Masters,NotMarried,Prof-specialty,Not-in-family,White,Female,50
1,42,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40
1,37,Private,Some-college,Married,Exec-managerial,Husband,Black,Male,80
1,30,State-gov,Bachelors,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40
0,23,Private,Bachelors,NotMarried,Adm-clerical,Own-child,White,Female,30
0,32,Private,Assoc-acdm,NotMarried,Sales,Not-in-family,Black,Male,50
1,40,Private,Assoc-voc,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40
0,34,Private,7th-8th,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45
0,25,Self-emp-not-inc,HS-grad,NotMarried,Farming-fishing,Own-child,White,Male,35
0,32,Private,HS-grad,NotMarried,Machine-op-inspct,Unmarried,White,Male,40
0,38,Private,11th,Married,Sales,Husband,White,Male,50
1,43,Self-emp-not-inc,Masters,Separated,Exec-managerial,Unmarried,White,Female,45
1,40,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,60
0,54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20
0,35,Federal-gov,9th,Married,Farming-fishing,Husband,Black,Male,40
0,43,Private,11th,Married,Transport-moving,Husband,White,Male,40
0,59,Private,HS-grad,Separated,Tech-support,Unmarried,White,Female,40
1,56,Local-gov,Bachelors,Married,Tech-support,Husband,White,Male,40
